DATE CREATED,,,,,
2020-11-25T06:07:06+10:00,,,,,
,,,,,
ATTRIBUTION,,,,,
http://www.aims.gov.au/docs/cc-attribution.html,,,,,
,,,,,
DISCLAIMER,,,,,
http://www.aims.gov.au/docs/disclaimer.html,,,,,
,,,,,
PRIVACY,,,,,
http://www.aims.gov.au/docs/privacy-policy.html,,,,,
,,,,,
COPYRIGHT,,,,,
http://www.aims.gov.au/docs/cc-copyright.html,,,,,
,,,,,
COMMENT,,,,,
"These data are provided by this web service under a Creative Commons License.  Please read the copyright statement and attribute AIMS according to the attribution information above.  All or some data delivered by this service may be provided by a third party and should also be attributed.  The ownership of data will be associated with the deployment information in the data.  If no ownership is supplied, AIMS is the implied owner. ",,,,,
,,,,,
SENSOR DEFINITIONS,,,,,
MEA2173 SDI-12 Smart Temperature Sensor 8,,,,,
,,,,,
UOM DEFINITIONS,,,,,
Degrees Celsius,,,,,
,,,,,
STATION,,,,,
Lizard Island,,,,,
LATITUDE,,,,,
-14.68752,,,,,
16-Feb,9,29.1827935,nan,29.0382,29.1265
17-Feb,9,29.15551921,nan,29.0978,29.203
18-Feb,9,29.16976759,nan,29.3001,29.2716
19-Feb,9,29.17889466,nan,29.2479,29.85
20-Feb,9,29.15816898,nan,29.0688,29.8936
21-Feb,9,29.18701759,nan,29.4952,29.4777
22-Feb,9,29.28355162,nan,29.6271,29.2461
23-Feb,9,29.2636471,nan,29.6925,29.0404
24-Feb,9,29.30252767,nan,29.4231,28.3374
25-Feb,9,29.2734206,nan,29.0779,28.4335
26-Feb,9,29.28335486,nan,28.5601,29.3056
27-Feb,9,29.1745412,nan,28.3813,29.4784
28-Feb,9,29.11426782,28.2358,29.4347,nan
29-Feb,3,29.29237083,nan,nan,29.4744
1-Mar,9,28.93198194,nan,28.2017,29.2286
2-Mar,9,28.79189306,nan,28.2067,29.1643
3-Mar,9,28.82963441,nan,28.2003,29.5059
4-Mar,8,28.88328438,28.2832,29.8665,nan
5-Mar,8,28.83310547,29.1436,28.3105,30.0751
6-Mar,8,28.69488698,nan,28.5465,30.531
7-Mar,7,28.73489256,nan,28.582,30.1738
8-Mar,7,28.79611632,nan,28.5375,30.0361
9-Mar,7,28.86839732,nan,28.6062,29.5838
10-Mar,7,28.86813631,nan,28.572,29.6192
11-Mar,7,28.84421164,nan,28.763,29.5562
12-Mar,7,28.81017827,nan,28.7749,29.0579
13-Mar,8,28.78469373,nan,29.1634,28.7021
14-Mar,8,28.78011615,nan,29.0537,29.0566
15-Mar,8,28.70686328,nan,29.0983,28.886
16-Mar,8,28.7046263,nan,28.9888,28.7719
17-Mar,8,28.65987734,nan,28.9465,28.4557
18-Mar,8,28.61049531,nan,28.4522,28.3457
19-Mar,8,28.5777875,nan,28.2377,28.3203
20-Mar,8,28.4932237,nan,28.0338,28.2408
21-Mar,8,28.39457865,nan,27.8889,28.2717
22-Mar,8,28.39746016,nan,27.9648,28.044
23-Mar,8,28.39631458,nan,28.1886,28.1905
24-Mar,8,28.3950974,27.884,28.6258,28.1206
25-Mar,8,28.4339375,27.9793,28.6838,28.0402
26-Mar,8,28.3412875,28.211,28.944,28.0899
27-Mar,8,28.30249922,28.0982,29.6357,27.8986
28-Mar,8,28.28776927,28.5451,29.7841,28.0293
29-Mar,8,28.26005182,28.5389,29.3686,28.0318
30-Mar,8,28.26977214,28.4693,29.4543,27.9131
31-Mar,8,28.24603776,28.5483,29.6307,27.9145
